id,nombre,descripcion,color,palabrasClave
cmgg1fs0b0000112g1dwxzwzw,Actualidad,"Noticias nacionales e internacionales de política, economía, sociedad, etc.",#3B82F6,"[""noticias"",""actualidad"",""nacional"",""internacional"",""política"",""economía"",""sociedad"",""elecciones"",""conflictos"",""leyes""]"
cmgg1fs0e0005112gahkkhbf1,Ciencia y Tecnología,"Avances tecnológicos, IA, investigación, startups tech.",#8B5CF6,"[""ciencia"",""tecnología"",""IA"",""inteligencia artificial"",""investigación"",""startups"",""NASA"",""lunar"",""revoluciona""]"
cmgg1fs0h000d112ggdou3btb,Cultura,"Arte, historia, patrimonio, literatura, festivales culturales.",#D97706,"[""cultura"",""arte"",""historia"",""patrimonio"",""literatura"",""festivales culturales"",""Virgen de la Candelaria""]"
cmgg1fs0c0003112g7epw4vrz,Deportes,"Fútbol, vóley, básquet, torneos internacionales, atletas peruanos.",#F59E0B,"[""deportes"",""fútbol"",""vóley"",""básquet"",""Alianza Lima"",""Selección peruana"",""Brasil"",""torneos"",""atletas""]"
cmgg1fs0c0002112gtz9dd9xz,Economía,"Finanzas, negocios, emprendimientos, tipo de cambio, minería, energía, empleo.",#059669,"[""economía"",""finanzas"",""negocios"",""dólar"",""inflación"",""minería"",""energía"",""empleo"",""empresas"",""mercado""]"
cmgg1fs0h000c112ga38cvwre,Educación,"Universidades, colegios, investigaciones académicas, becas.",#8B5CF6,"[""educación"",""universidades"",""colegios"",""investigaciones académicas"",""becas"",""UNSA"",""proyecto de IA""]"
cmgg1fs0d0004112glmjlj96k,Farándula / Entretenimiento,"Celebridades, cine, música, TV, influencers, espectáculos.",#EC4899,"[""farándula"",""entretenimiento"",""celebridades"",""cine"",""música"",""TV"",""influencers"",""Yahaira"",""festival""]"
cmgg1fs0g000b112g8j4uwvg6,Innovación / Emprendimiento,"Startups, proyectos tecnológicos, innovación social, apps.",#6366F1,"[""innovación"",""emprendimiento"",""startups"",""proyectos tecnológicos"",""innovación social"",""apps"",""reciclaje""]"
cmgg1fs0e0006112gl0k36mj8,Internacionales,"Noticias del mundo, conflictos, diplomacia, cambio climático.",#06B6D4,"[""internacional"",""mundo"",""conflictos"",""diplomacia"",""ONU"",""acuerdo global"",""cambio climático""]"
cmgg1fs0g000a112g93a1z2i9,Medio Ambiente,"Ecología, cambio climático, conservación, energías renovables.",#22C55E,"[""medio ambiente"",""ecología"",""cambio climático"",""conservación"",""energías renovables"",""contaminación"",""Lago Titicaca""]"
cmgg1fs0b0001112g2lb2odtv,Política,"Gobierno, congreso, elecciones, partidos políticos, declaraciones oficiales.",#DC2626,"[""política"",""gobierno"",""congreso"",""elecciones"",""partidos"",""presidente"",""ministro"",""gabinete"",""reforma"",""ley""]"
cmgg1fs0f0007112gev7odmxo,Salud,"Medicina, nutrición, campañas, vacunas, bienestar.",#10B981,"[""salud"",""medicina"",""nutrición"",""campañas"",""vacunas"",""bienestar"",""dengue"",""alimentación""]"
cmgg1fs0f0008112gsse5oyp2,Sociedad,"Cultura, educación, costumbres, turismo, temas sociales.",#F97316,"[""sociedad"",""cultura"",""educación"",""costumbres"",""turismo"",""Altiplano"",""zonas rurales"",""digital""]"
cmgg1fs0g0009112gtl87ompd,Sucesos / Policiales,"Accidentes, delitos, emergencias, investigaciones policiales.",#EF4444,"[""sucesos"",""policiales"",""accidentes"",""delitos"",""emergencias"",""investigaciones"",""incendio"",""Miraflores"",""banda criminal""]"
cmgg1fs0i000e112gkvbgvz4m,Tecnología y Ciencia de Datos,"IA, robótica, programación, Big Data, innovación digital.",#7C3AED,"[""tecnología"",""ciencia de datos"",""IA"",""robótica"",""programación"",""Big Data"",""innovación digital"",""startups de IA""]"
